Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
BioShock,First-person shooter,2K Boston/2K Australia,"2K Games, SpikeJP","Aug 21, 2007","Aug 24, 2007","Feb 21, 2008","Aug 24, 2007",,XBO
BioShock 2,First-person shooter,2K Marin,2K Games,"Feb 9, 2010","Feb 9, 2010","Mar 4, 2010","Feb 9, 2010",,XBO
BioShock Infinite,First-person shooter,Irrational Games,2K Games,"Mar 26, 2013","Mar 26, 2013","Apr 25, 2013","Mar 26, 2013",,XBO
Birds of Steel,Combat flight simulation game,Gaijin Entertainment,Konami,"Mar 13, 2012","Mar 16, 2012","Mar 8, 2012","Mar 29, 2012",,
Black College Football: The Xperience,Sports,Nerjyzed Entertainment,Aspyr,"Sep 29, 2009",Unreleased,Unreleased,Unreleased,,XBO
The Black Eyed Peas Experience,Music,iNiS,Ubisoft,"Nov 8, 2011","Nov 11, 2011",Unreleased,"Nov 10, 2011",K,
Black Knight Sword,Action & Adventure,Grasshopper Manufacture,D3 Publisher,"Dec 12, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Blacklight: Tango Down,Shooter,Zombie Studios,Ignition Entertainment,"Jul 7, 2010",Unreleased,Unreleased,Unreleased,XBLA,
BlackSite: Area 51,First-person shooter,Midway Games,Midway Games,"Nov 12, 2007","Nov 30, 2007",Unreleased,"Nov 29, 2007",,
Blackwater,First-person shooter,Zombie Studios,505 Games,"Oct 25, 2011","Nov 4, 2011",Unreleased,"Nov 3, 2011",K,
Blade Kitten,Action & Adventure,Krome Studios,Atari,"Sep 22, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Blades of Time,"Action, hack and slash",Gaijin Entertainment,Konami,"Mar 6, 2012","Mar 16, 2012","Mar 8, 2012","Mar 8, 2012",,
Bladestorm: The Hundred Years' War,RTT,Omega Force,Koei,"Nov 6, 2007","Nov 2, 2007","Oct 25, 2007","Nov 15, 2007",,
BlazBlue: Calamity Trigger,Fighting,Arc System Works,Arc System Works,"Jul 30, 2009","Apr 2, 2010","Jun 25, 2009","Mar 26, 2010",,
BlazBlue: Continuum Shift,Fighting,Arc System Works,Arc System Works,"Jul 27, 2010","Dec 3, 2010","Jul 1, 2010","Dec 3, 2010",,
BlazBlue: Continuum Shift Extend,Fighting,Arc System Works,Arc System Works,"Feb 14, 2012","Feb 22, 2012","Dec 17, 2011",Unreleased,,
Blazing Angels 2: Secret Missions of WWII,Combat flight simulation game,Ubisoft Bucharest,Ubisoft,"Sep 18, 2007","Sep 7, 2007","Mar 19, 2008","Sep 6, 2007",,
Blazing Angels: Squadrons of WWII,Combat flight simulation game,Ubisoft Bucharest,Ubisoft,"Mar 23, 2006","Mar 31, 2006",Unreleased,"Mar 30, 2006",,XBO
Blazing Birds,Sports & Recreation,Vector 2 Games,Microsoft Game Studios,"May 20, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Bliss Island,Puzzle & Trivia,PomPom Games,Codemasters,"Mar 12, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Blitz: The League,Sports,Midway Games,Midway Games,"Nov 13, 2006","Feb 23, 2007",Unreleased,Unreleased,,
Blitz: The League II,Sports,Midway Games,Midway Games,"Oct 13, 2008","Oct 24, 2008",Unreleased,Unreleased,,
Blood Bowl,"Sports, RTS, Turn-based strategy",Cyanide,Focus Home Interactive,"Jan 26, 2010","Nov 27, 2009",Unreleased,"Dec 10, 2009",,
Blood Drive,Vehicular combat,Sidhe,Activision,"Nov 2, 2010","Nov 19, 2010",Unreleased,Unreleased,,
Blood Knights,Action & Adventure,Deck13 Interactive,Kalypso Media,"Nov 1, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Blood of the Werewolf,Platformer,Scientifically Proven,Midnight City,"Jun 11, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO
Bloodbath,Fighting,Freedom Factory Studios,Freedom Factory Studios,Unreleased,"Aug 1, 2014",Unreleased,Unreleased,,
Bloodforge,Action & Adventure,Climax Studios,Microsoft Studios,"Apr 25, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
BloodRayne: Betrayal,Platformer,WayForward Technologies,Majesco Entertainment,"Sep 7, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Bloody Good Time,Shooter,Outerlight,Ubisoft,"Oct 28, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Blue Dragon,Role-playing,Mistwalker,Microsoft Game Studios,"Aug 28, 2007","Aug 24, 2007","Dec 7, 2006","Aug 30, 2007",,XBO
The Bluecoats: North vs South,Strategy & Simulation,Anuman,Bandai Namco Entertainment,"Sep 13, 2016",Unreleased,Unreleased,Unreleased,XBLA,
Blur,"Racing, vehicular combat",Bizarre Creations,Activision,"May 25, 2010","May 28, 2010","Jul 22, 2010","May 26, 2010",,
Body and Brain Connection,Puzzle,Namco Bandai Games,Namco Bandai Games,"Feb 8, 2011","Feb 11, 2011","Feb 10, 2011","Nov 20, 2010",K,
Bodycount,First-person shooter,Guildford Studio,Codemasters,"Aug 30, 2011","Sep 2, 2011",Unreleased,"Sep 1, 2011",,
Bolt,Adventure,Avalanche Software,Disney Interactive Studios,"Nov 18, 2008","Feb 13, 2009",Unreleased,"Dec 4, 2008",,XBO
Bomberman Live,Action & Adventure,Backbone Entertainment,Hudson Soft,"Jul 18, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Bomberman Live: Battlefest,Action & Adventure,Pi Studios,Hudson Soft,"Dec 8, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Bomberman: Act Zero,Action,Hudson Soft,"Konami, Hudson SoftJP","Aug 29, 2006","Nov 3, 2006","Aug 3, 2006","Nov 10, 2006",,
Boogie Bunnies,Puzzle & Trivia,Artech Digital Entertainment,Vivendi Games,"Jan 16, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Boom Boom Rocket,Action & Adventure,Bizarre Creations,Electronic Arts,"Apr 11, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Borderlands,"Action role-playing, First-person shooter",Gearbox Software,2K Games,"Oct 20, 2009","Oct 23, 2009","Feb 25, 2010","Oct 23, 2009",,XBO
Borderlands 2,"Action role-playing, First-person shooter",Gearbox Software,2K Games,"Sep 18, 2012","Sep 21, 2012","Oct 25, 2012","Sep 20, 2012",,XBO
Borderlands: The Pre-Sequel,"Action role-playing, First-person shooter",2K Australia,2K Games,"Oct 14, 2014","Oct 17, 2014","Oct 30, 2014","Oct 16, 2014",,
Boulder Dash-XL,Puzzle,Catnip Games,Kalypso Media,"Jul 13, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Bound by Flame,Action role-playing,Spiders,Focus Home Interactive,"May 9, 2014","May 9, 2014",Unreleased,Unreleased,,XBO
Braid,Action & Adventure,"Number None, Inc.",Microsoft Game Studios,"Aug 6, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Brain Challenge,Puzzle & Trivia,Gameloft,Microsoft Game Studios,"Mar 12, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Brave,Action-adventure,Behaviour Interactive,Disney Interactive Studios,"Jun 19, 2012","Jul 27, 2012",Unreleased,"Jun 21, 2012",K,XBO
Brave: A Warrior's Tale,Action-adventure,Collision Studios,SouthPeak Games,"Aug 4, 2009","Sep 25, 2009",Unreleased,Unreleased,,
Breach,Shooter,Atomic Games,Atomic Games,"Jan 26, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Brian Lara International Cricket 2007,Sports,Codemasters,Codemasters,Unreleased,"Mar 23, 2007",Unreleased,"Mar 29, 2007",,
The Bridge,Puzzle & Trivia,Ty Taylor and Mario Castañeda,Midnight City,"Nov 13, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Brink,First-person shooter,Splash Damage,Bethesda Softworks,"May 10, 2011","May 13, 2011","Jun 16, 2011","May 12, 2011",,
Brothers in Arms: Hell's Highway,First-person shooter,Gearbox Software,Ubisoft,"Sep 23, 2008","Sep 26, 2008","Oct 30, 2008","Sep 25, 2008",,XBO
Brothers: A Tale of Two Sons,Action & Adventure,Starbreeze Studios,505 Games,"Aug 7, 2013","Aug 7, 2013","Aug 7, 2013","Aug 7, 2013",XBLA,
Brunswick Pro Bowling,"Sports, Bowling",FarSight Studios,"Crave Entertainment, 505 Games","Feb 15, 2011","Apr 8, 2011","Dec 16, 2010",Unreleased,K,
Brütal Legend,"Action-adventure, RTS",Double Fine Productions,Electronic Arts,"Oct 13, 2009","Oct 16, 2009",Unreleased,"Oct 15, 2009",,XBO
Bubble Bobble Neo!,Action & Adventure,Dreams,Square Enix,"Sep 16, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Buku Sudoku,Puzzle & Trivia,Absolutist,Microsoft Game Studios,"May 28, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Bullet Soul,Shoot 'em up,5pb.,5pb.,"Sep 16, 2016",Unreleased,"Apr 7, 2011",Unreleased,,XBO
Bullet Soul: Infinite Burst,Shoot 'em up,5pb.,5pb.,"Nov 1, 2016",Unreleased,"May 29, 2014",Unreleased,,XBO
Bullet Witch,Third-person shooter,Cavia,"Atari, AQ InteractiveJP","Feb 27, 2007","Mar 6, 2007","Jul 27, 2006","Mar 16, 2007",,
Bulletstorm,First-person shooter,People Can Fly,Electronic Arts,"Feb 22, 2011","Feb 25, 2011","Feb 24, 2011","Feb 24, 2011",,
Bully: Scholarship Edition,Action-adventure,Rockstar New England,Rockstar Games,"Mar 4, 2008","Mar 7, 2008","Jul 24, 2008","Mar 7, 2008",,XBO
The Bureau: XCOM Declassified,Tactical shooter,"2K Marin, 2K Australia, 2K China",2K Games,"Aug 20, 2013","Aug 23, 2013",Unreleased,"Aug 23, 2013",,XBO
BurgerTime World Tour,Platformer,Frozen Codebase,Konami,"Nov 2, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Burnout Crash!,Racing,Criterion Games,Electronic Arts,"Sep 21, 2011",Unreleased,Unreleased,Unreleased,K   XBLA,
Burnout Paradise,Racing,Criterion Games,Electronic Arts,"Jan 22, 2008","Jan 25, 2008","Feb 21, 2008","Feb 7, 2008",,XBO
Burnout Revenge,Racing,Criterion Games,Electronic Arts,"Mar 7, 2006","Mar 17, 2006","Mar 23, 2006","Mar 17, 2006",,XBO
Cabela's Adventure Camp,Hunting/Fishing,Cauldron,Activision,"Nov 1, 2011","Nov 1, 2011",Unreleased,Unreleased,K,
Cabela's African Adventures,Hunting/Fishing,Fun Labs,Activision,"Oct 15, 2013","Oct 15, 2013",Unreleased,Unreleased,,
Cabela's African Safari,Hunting/Fishing,Fun Labs,Activision,"Nov 21, 2006","May 4, 2007",Unreleased,Unreleased,,
Cabela's Alaskan Adventures,Hunting/Fishing,Fun Labs,Activision,"Sep 19, 2006","Nov 16, 2006",Unreleased,Unreleased,,XBO
Cabela's Big Game Hunter,Hunting/Fishing,Fun Labs,Activision,"Nov 6, 2007","Mar 5, 2008",Unreleased,Unreleased,,
Cabela's Big Game Hunter 2010,Hunting/Fishing,Cauldron,Activision,"Sep 22, 2009","Sep 22, 2009",Unreleased,Unreleased,,
Cabela's Big Game Hunter 2012,Hunting/Fishing,Cauldron,Activision,"Sep 27, 2011","Sep 27, 2011",Unreleased,Unreleased,,
Cabela's Big Game Hunter: Hunting Party,Hunting/Fishing,Activision,Activision,"Nov 1, 2011","Nov 1, 2011",Unreleased,Unreleased,K,
Cabela's Big Game Hunter: Pro Hunts,Hunting/Fishing,Cauldron,Activision,"Mar 25, 2014","Mar 25, 2014",Unreleased,Unreleased,,
Cabela's Dangerous Hunts 2009,Hunting/Fishing,Fun Labs,Activision,"Sep 23, 2008","Nov 20, 2008",Unreleased,Unreleased,,
Cabela's Dangerous Hunts 2011,Hunting/Fishing,Cauldron,Activision,"Oct 26, 2010","May 6, 2011",Unreleased,Unreleased,,
Cabela's Dangerous Hunts 2013,Hunting/Fishing,Cauldron,Activision,"Oct 23, 2012","Oct 23, 2012",Unreleased,Unreleased,,XBO
Cabela's Hunting Expeditions,Hunting/Fishing,Fun Labs,Activision,"Oct 23, 2012","Oct 23, 2012",Unreleased,Unreleased,,XBO
Cabela's North American Adventures,Hunting/Fishing,Fun Labs,Activision,"Sep 14, 2010","Sep 14, 2010",Unreleased,Unreleased,,
Cabela's Outdoor Adventures,Hunting/Fishing,Activision,Activision,"Sep 9, 2009","Sep 9, 2009",Unreleased,Unreleased,,
Cabela's Survival: Shadows of Katmai,Hunting/Fishing,Fun Labs,Activision,"May 1, 2012","May 1, 2012",Unreleased,Unreleased,,XBO
Cabela's Trophy Bucks,Hunting/Fishing,Fun Labs,Activision,"Sep 25, 2007","Sep 25, 2007",Unreleased,Unreleased,,
Caladrius,Vertically scrolling shooter,MOSS,MOSS,"Sep 4, 2015","Sep 4, 2015","Apr 25, 2013",Unreleased,,
Call of Duty 2,First-person shooter,Infinity Ward,Activision,"Nov 22, 2005","Dec 2, 2005","Jun 15, 2006","Mar 23, 2006",,XBO
Call of Duty 3,First-person shooter,Treyarch,Activision,"Nov 7, 2006","Nov 10, 2006","Mar 29, 2007","Nov 15, 2006",,XBO
Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward,Activision,"Nov 5, 2007","Nov 9, 2007","Dec 27, 2007","Nov 7, 2007",,XBO
Call of Duty Classic,Classics,Aspyr,Activision,"Dec 2, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Call of Duty: Advanced Warfare,First-person shooter,"Sledgehammer Games, High Moon Studios",Activision,"Nov 4, 2014","Nov 4, 2014","Nov 13, 2014","Nov 4, 2014",,XBO
Call of Duty: Black Ops,First-person shooter,Treyarch,Activision,"Nov 9, 2010","Nov 9, 2010","Nov 18, 2010","Nov 9, 2010",3D,XBO
Call of Duty: Black Ops II,First-person shooter,Treyarch,Activision,"Nov 13, 2012","Nov 13, 2012","Nov 22, 2012","Nov 13, 2012",3D,XBO
Call of Duty: Black Ops III,First-person shooter,"Treyarch, Beenox",Activision,"Nov 6, 2015","Nov 6, 2015","Nov 6, 2015","Nov 6, 2015",,
Call of Duty: Ghosts,First-person shooter,Infinity Ward,"Activision, Square EnixJP","Nov 5, 2013","Nov 5, 2013","Nov 14, 2013","Nov 5, 2013",,XBO
Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward,Activision,"Nov 10, 2009","Nov 10, 2009","Dec 10, 2009","Nov 10, 2009",,XBO
Call of Duty: Modern Warfare 3,First-person shooter,"Infinity Ward, Sledgehammer Games",Activision,"Nov 8, 2011","Nov 8, 2011","Nov 17, 2011","Nov 8, 2011",,XBO
Call of Duty: World at War,First-person shooter,Treyarch,Activision,"Nov 11, 2008","Nov 14, 2008",Unreleased,"Nov 12, 2008",,XBO
Call of Juarez,"First-person shooter, Western",Techland,Ubisoft,"Jun 5, 2007","Jun 29, 2007","Feb 28, 2008","Nov 22, 2013",,
Call of Juarez: Bound in Blood,"First-person shooter, Western",Techland,Ubisoft,"Jun 30, 2009","Jul 3, 2009","Jul 23, 2009","Nov 22, 2013",,XBO
Call of Juarez: The Cartel,"First-person shooter, Western",Techland,Ubisoft,"Jul 19, 2011","Jul 22, 2011",Unreleased,"Nov 22, 2013",,XBO
Call of Juarez: Gunslinger,Shooter,Techland,Ubisoft,"May 22, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Capcom Arcade Cabinet,Classics,"Capcom, M2",Capcom,"Feb 19, 2013","Feb 20, 2013","Feb 19, 2013","Feb 20, 2013",XBLA,XBO
Capcom Digital Collection,Compilation,Capcom,Capcom,"Mar 27, 2012","Mar 27, 2012",Unreleased,"Nov 22, 2013",,
Capsized,Action & Adventure,Alientrap,Namco Bandai Games,"Jul 5, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Captain America: Super Soldier,Action,Next Level Games,Sega,"Jul 19, 2011","Jul 15, 2011",Unreleased,"Nov 22, 2013",3D,
Carcassonne,Card & Board,Sierra Entertainment,Microsoft Game Studios,"Jun 27, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
"Carnival Games: Monkey See, Monkey Do",Party,Cat Daddy Games,2K Play,"Apr 5, 2011","Apr 8, 2011","Apr 8, 2011",Unreleased,K,
Carrier Command: Gaea Mission,"Real-time strategy, Action",Bohemia Interactive,"Bohemia Interactive, Mastertronic, Rising Star Games","Sep 28, 2012","Sep 28, 2012",Unreleased,"Nov 22, 2013",,
Cars,"Racing, Adventure",Rainbow Studios,THQ,"Oct 23, 2006","Nov 17, 2006",Unreleased,"Nov 23, 2006",,
Cars 2,"Racing, Adventure",Avalanche Software,Disney Interactive Studios,"Jun 21, 2011","Jul 22, 2011",Unreleased,"Nov 22, 2013",,XBO
Cars 3: Driven to Win,Racing,Avalanche Software,Warner Bros. Interactive Entertainment,"Jun 13, 2017","Jul 14, 2017",Unreleased,"Jul 14, 2017",,
Cars Mater-National Championship,Racing,Rainbow Studios,THQ,"Oct 29, 2007","Nov 16, 2007",Unreleased,"Nov 22, 2013",,XBO
Cars Race-O-Rama,Racing,Rainbow Studios,THQ,"Oct 13, 2009","Oct 30, 2009",Unreleased,"Nov 22, 2013",,
Cartoon Network: Punch Time Explosion XL,Fighting,Papaya Studio,"Crave Entertainment US, Deep Silver UK","Nov 15, 2011","May 18, 2012",Unreleased,"Nov 22, 2013",,
Castle Crashers,Role Playing,The Behemoth,Microsoft Game Studios,"Aug 27, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Castle of Illusion Starring Mickey Mouse,Action & Adventure,Sega Studios Australia,Sega,"Sep 4, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
CastleStorm,Strategy & Simulation,Zen Studios,Microsoft Studios,"May 29, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Castlevania: Harmony of Despair,Action & Adventure,Konami,Konami,"Aug 4, 2010","Aug 4, 2010","Aug 4, 2010","Aug 4, 2010",XBLA,XBO
Castlevania: Lords of Shadow,"Action-adventure, Platformer","MercurySteam, Kojima Productions",Konami,"Oct 5, 2010","Oct 8, 2010","Dec 16, 2010","Oct 19, 2010",,XBO
Castlevania: Lords of Shadow 2,"Action-adventure, Platformer","MercurySteam, Kojima Productions",Konami,"Feb 25, 2014","Feb 28, 2014","Sep 4, 2014","Mar 6, 2014",,XBO
Castlevania: Lords of Shadow – Mirror of Fate HD,Action & Adventure,MercurySteam,Konami,"Oct 25, 2013","Oct 25, 2013","Oct 25, 2013","Oct 25, 2013",XBLA,XBO
Castlevania: Symphony of the Night,Classics,Konami/Digital Eclipse,Konami,"Mar 21, 2007","Mar 21, 2007","Mar 21, 2007","Mar 21, 2007",XBLA,XBO
Catan,Card & Board,Big Huge Games,Microsoft Game Studios,"May 2, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Catherine,"Puzzle Platform, Survival Horror, Adult",Atlus Persona Team,Atlus,"Jul 26, 2011","Feb 10, 2012","Feb 17, 2011","Nov 22, 2013",,XBO
The Cave,Action & Adventure,Double Fine Productions,Sega,"Jan 23, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
CellFactor: Psychokinetic Wars,Shooter,Immersion GamesTimeline Interactive,Ubisoft,"Jun 3, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Centipede & Millipede,Classics,Stainless Games/Atari,Atari,"May 2, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Champion Jockey: G1 Jockey & Gallop Racer,Horse Racing,Koei,Tecmo Koei,Unreleased,"Sep 2, 2011","Sep 22, 2011","Sep 22, 2011",K,
Championship Manager 2007,"Sports, Sports Management",Beautiful Game,Eidos Interactive,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
Chaos;Head Love Chu Chu!,"Visual novel, Romantic Comedy",5pb.,5pb.,Unreleased,Unreleased,"Mar 25, 2010",Unreleased,,
Chaos;Head Noah,Visual novel,5pb.,5pb.,Unreleased,Unreleased,"Feb 26, 2009",Unreleased,,
Chaotic: Shadow Warriors,Action,Activision,Activision,"Nov 10, 2009","Nov 10, 2009",Unreleased,"Nov 22, 2013",,
Charlie Murder,Fighting,Ska Studios,Microsoft Studios,"Aug 14, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Chessmaster Live,Card & Board,Ubisoft,Ubisoft,"Jan 30, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Child of Eden,"Rail Shooter, Music",Q Entertainment,Ubisoft,"Jun 14, 2011","Jun 17, 2011","Oct 6, 2011","Nov 22, 2013",K,XBO
Child of Light,Role Playing,Ubisoft Montreal,Ubisoft,"Apr 30, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Chime,Puzzle & Trivia,Zoë Mode,Valcon Games,"Feb 3, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Chivalry: Medieval Warfare,Fighting,Torn Banner Studios,Activision,"Dec 3, 2014",Unreleased,Unreleased,Unreleased,XBLA,
Choplifter HD,Action & Adventure,InXile Entertainment,Konami,"Jan 11, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Chromehounds,Tank & Mecha Sim,From Software,Sega,"Jul 11, 2006","Jul 7, 2006","Jun 29, 2006","Nov 22, 2013",,
The Chronicles of Narnia: Prince Caspian,Action-adventure,Traveller's Tales,Disney Interactive Studios,"May 15, 2008","Jun 20, 2008",Unreleased,"Nov 22, 2013",,
The Chronicles of Riddick: Assault on Dark Athena,"First-person Shooter, Action-adventure, Stealth",Starbreeze Studios,Atari,"Apr 7, 2009","Apr 24, 2009",Unreleased,"Nov 22, 2013",,
Civilization Revolution,Turn-based Strategy,Firaxis Games,2K Games,"Jul 8, 2008","Jun 13, 2008","Dec 11, 2008","Nov 22, 2013",,XBO   XE
Clannad,Visual novel,Key,Prototype,Unreleased,Unreleased,"Aug 26, 2008",Unreleased,,
Clash of the Titans,Action-adventure,Namco Bandai Games,Namco Bandai Games,"Jul 27, 2010","May 28, 2010","Jun 17, 2010","Nov 22, 2013",,
Clive Barker's Jericho,First-person shootersurvival horror,MercurySteamAlchemic Productions,Codemasters,"Oct 23, 2007","Oct 26, 2007",Unreleased,"Nov 8, 2008",,
Cloning Clyde,Platformer,NinjaBee,Microsoft Game Studios,"Jul 19, 2006",Unreleased,Unreleased,Unreleased,XBLA,
Cloudberry Kingdom,Platformer,Pwnee Studios,Ubisoft,"Jul 31, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Cloudy with a Chance of Meatballs,Platform,Ubisoft Shanghai,Ubisoft,"Sep 18, 2009","Sep 11, 2009",Unreleased,"Nov 22, 2013",,
The Club,Third-person Shooter,Bizarre Creations,Sega,"Feb 19, 2008","Feb 8, 2008",Unreleased,"Nov 22, 2013",,
Cobalt,Puzzle & Trivia,Oxeye Game Studio,Microsoft Studios,"Feb 2, 2016",Unreleased,Unreleased,Unreleased,XBLA,XBO
Code 18,Visual novel,CyberFront,CyberFront,Unreleased,Unreleased,"Sep 29, 2011",Unreleased,,
Coffeetime Crosswords,Puzzle & Trivia,Voltex,Konami,"Jul 16, 2008",Unreleased,Unreleased,Unreleased,XBLA,
College Hoops 2K6,Sports,Visual Concepts,2K Sports,"Mar 7, 2006","Mar 7, 2006",Unreleased,"Mar 23, 2006",,
College Hoops 2K7,Sports,Visual Concepts,2K Sports,"Nov 20, 2006","Nov 20, 2006",Unreleased,"Nov 20, 2006",,
College Hoops 2K8,Sports,Visual Concepts,2K Sports,"Nov 19, 2007","Nov 19, 2007",Unreleased,"Nov 22, 2013",,
Combat Wings: The Great Battles of WWII,Combat flight simulation game,CI Games,CI Games,"Mar 27, 2012","Feb 19, 2012","Feb 14, 2013","Mar 29, 2012",,
Comic Jumper:The Adventures of Captain Smiley,Platformer,Twisted Pixel Games,Microsoft Game Studios,"Oct 6, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Comix Zone,Classics,Backbone Entertainment,Sega,"Jun 10, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Command & Conquer 3: Kane's Wrath,RTS,EA Los Angeles,Electronic Arts,"Jun 23, 2008","Jun 27, 2008",Unreleased,"Nov 22, 2013",,XBO
Command & Conquer 3: Tiberium Wars,RTS,EA Los Angeles,Electronic Arts,"May 8, 2007","May 11, 2007",Unreleased,"Nov 22, 2013",,XBO
Command & Conquer: Red Alert 3,RTS,EA Los Angeles,Electronic Arts,"Nov 11, 2008","Nov 14, 2008",Unreleased,"Nov 22, 2013",,XBO
Command & Conquer: Red Alert 3 – Commander's Challenge,Strategy & Simulation,EA Los Angeles,Electronic Arts,"Sep 16, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Commanders: Attack of the Genos,Platformer,Southend Interactive,Activision,"Feb 13, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Conan,"Action-adventure, Platformer",Nihilistic Software,THQ,"Oct 23, 2007","Sep 28, 2007","Dec 6, 2007","Nov 22, 2013",,
Condemned 2: Bloodshot,Survival Horror,Monolith Productions,Sega,"Mar 11, 2008","Apr 4, 2008",Unreleased,"Nov 22, 2013",,
Condemned: Criminal Origins,Survival horror,Monolith Productions,Sega,"Nov 22, 2005","Dec 2, 2005","Aug 31, 2006","Mar 23, 2006",,XBO
Conflict: Denied Ops,Tactical Shooter,Pivotal Games,Eidos Interactive,"Feb 12, 2008","Feb 8, 2008",Unreleased,"Nov 22, 2013",,
